( POWERFLOW,CASEID=RTS79,PROJECT=RTS79)
/ NEW_BASE,FILE = RTS79.BSE \
/ P_INPUT_LIST,FULL \
/ P_OUTPUT_LIST,FULL \
/ P_ANALYSIS_REPORT,LEVEL=4\
BE    BUS_1   138.  108.022.00        192.172.080.00-50.01035900                
BE    BUS_2   138.  97.0020.00        192.172.080.00-50.01035900                
B     BUS_3   138.  180.037.00                           1100900                
B     BUS_4   138.  74.0015.00                           1100900                
B     BUS_5   138.  71.0014.00                           1100900                
B     BUS_6   138.  136.028.00    -100                   1100900                
BE    BUS_7   138.  125.025.00        300.240.0180.00.0001025900                
B     BUS_8   138.  171.035.00                           1100900                
B     BUS_9   138.  175.036.00                           1100900                
B     BUS_10  138.  195.040.00                           1100900                
B     BUS_11  230.                                     
